TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 4,LINE 5,ALL,LINE 4,LINE 5,,,,,,,,,,,,,,,
4:46:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:47:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:48:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:49:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:50:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:51:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:52:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:53:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:54:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:55:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:56:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:57:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:58:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
4:59:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:00:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:01:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:02:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:03:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:04:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:05:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:06:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:07:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:08:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:09:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:10:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:11:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:12:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:13:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:14:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:15:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:16:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:17:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:18:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:19:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:20:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:21:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:22:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:23:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:24:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:25:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:26:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:27:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:28:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:29:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:30:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:31:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:32:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:33:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:34:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:35:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:36:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:37:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:38:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:39:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:40:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:41:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:42:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:43:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:44:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:45:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:46:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:47:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:48:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:49:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:50:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:51:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:52:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:53:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:54:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:55:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:56:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:57:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:58:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
5:59:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:00:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:01:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:02:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:03:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:04:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:05:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:06:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:07:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:08:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:09:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:10:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:11:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:12:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:13:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:14:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:15:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:16:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:17:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
