TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 1A,LINE 1B,ALL,LINE 1A,LINE 1B,,,,,,,,,,,,,,,,,,
3:53:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
3:54:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
3:55:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
3:56:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
3:57:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
3:58:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
3:59:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:00:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:01:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:02:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:03:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:04:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:05:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:06:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:07:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:08:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:09:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:10:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:11:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:12:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:13:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:14:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:15:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:16:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:17:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:18:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:19:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:20:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:21:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:22:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:23:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:24:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:25:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:26:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:27:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:28:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:29:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:30:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:31:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:32:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:33:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:34:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:35:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:36:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:37:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:38:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:39:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:40:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:41:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:42:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:43:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:44:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:45:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:46:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:47:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:48:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:49:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:50:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:51:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:52:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:53:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:54:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:55:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
