Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,WorkerG,Worker,Priority
Finished,8 hr 21 min,ENWA-240008,Producton High Risk,MNT-00004363,1900175,WRKO-00005217,แก้ไขสายพาน assembly เลื่อน ฝั่งสุก,Work Area,Production Machine,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004371,1900175,WRKO-00005228,แก้ไขประตูปิด-เปิดยาก Blast Chill 2 ฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,286 hr 45 min,ENWA-240008,Producton High Risk,MNT-00004382,1900175,WRKO-00005243,แก้ไขวาวล์เปิดปิดสายยางหลุด บริเวณหน้าห้อง chill ฝั่งสุก,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,326 hr 5 min,ENWA-240008,Producton High Risk,MNT-00004400,1900175,WRKO-00005263,แก้ไขประตูทางออกไลน์ผลิตฝั่งสุกชำรุด ปิดไม่สนิท สกรูหลุด,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,24 hr 57 min,ENWA-240008,Producton High Risk,MNT-00004405,1900175,WRKO-00005268,แก้ไขเครื่องซีลฝั่งสุก ซีลไม่ติด,Work Area,Production Machine,Inspection,ENG,"",4
Finished,11 hr 34 min,ENWA-240008,Producton High Risk,MNT-00004410,1900175,WRKO-00005273,แก้ไข ประตูบลาส 1 ฝั่งสุก ชำรุด,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,63 hr 23 min,ENWA-240008,Producton High Risk,MNT-00004411,1900175,WRKO-00005274,แก้ไขสนิมบริเวณผนังหน้าห้องเก็บอุปกรณ์ 2 ฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,24 hr 51 min,ENWA-240008,Producton High Risk,MNT-00004419,1900254,WRKO-00005281,ห้องน้ำชายฝั่งสุกเบอร์4ลูกลอยหลุด,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,16 hr 8 min,ENWA-240008,Producton High Risk,MNT-00004425,1900175,WRKO-00005289,แก้ไข น้ำหยดบริเวณหลอดไฟ CL-037 ตรงกับสายพาน assembly,Work Area,Electrical system,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004436,1900175,WRKO-00005297,เครื่องซีล เปลี่ยนโปรแกรมไม่ได้ และใช้ได้ข้างเดียว ฝั่งสุก,Work Area,Production Machine,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004440,1900175,WRKO-00005301,แก้ไขcheck weight สายพานไม่ทำงาน ฝั่งสุก,Work Area,Production Machine,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004441,1900175,WRKO-00005302,แก้ไขปลั๊กไฟช็อต ฝั่งสุก,Work Area,Electrical system,Inspection,ENG,"",4
Finished,189 hr 42 min,ENWA-240008,Producton High Risk,MNT-00004456,1900175,WRKO-00005317,แก้ไขหลอดไฟหน้าblast chillชำรุด ฝั่งสุก,Work Area,Electrical system,Inspection,ENG,"",4
Finished,16 hr 19 min,ENWA-240008,Producton High Risk,MNT-00004460,1900175,WRKO-00005321,แก้ไขฝาครอบหลอดไฟ cl-132 หน้าair blast1 ฝั่งสุกตัวล๊อคชำรุด,Work Area,Electrical system,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004495,1900175,WRKO-00005363,เปลี่ยนหัวสายยาง ฝั่งสุก,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,13 hr 26 min,ENWA-240008,Producton High Risk,MNT-00004502,1900175,WRKO-00005370,เปลี่ยนม่านประตูทางเข้า-ทางออก ฝั่งสุก,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,20 hr 8 min,ENWA-240008,Producton High Risk,MNT-00004511,1900175,WRKO-00005378,แก้ไขปุ่ม emergency ฝั่งสุก,Work Area,Electrical system,Inspection,ENG,"",4
