Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,WorkerG,Worker,Priority
Finished,24 hr 3 min,ENWA-240008,Producton High Risk,MNT-00004308,1900175,WRKO-00005156,แก้ไขหลอดไฟไม่ติด ห้องเก็บกิโลฝั่งสุก,Work Area,Electrical system,Inspection,ENG,"",4
Finished,181 hr 14 min,ENWA-240008,Producton High Risk,MNT-00004322,1900175,WRKO-00005173,แก้ไขตัวหยุดประตู ห้อง blast freezer 1 ชำรุด,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,14 hr 4 min,ENWA-240009,Producton Low Risk,MNT-00004083,1900238,WRKO-00004898,แจ้งซ่อมน็อตล้อรถเข็นตะกร้าหลุด,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,8 hr 44 min,ENWA-240009,Producton Low Risk,MNT-00004084,1900224,WRKO-00004899,แก้ไขหลอดไฟ RL-024 กระพริบ. ห้อง Batching (Allergen),Work Area,Electrical system,Inspection,ENG,"",4
Finished,6 hr 52 min,ENWA-240009,Producton Low Risk,MNT-00004085,1900052,WRKO-00004900,แจ้งเปลี่ยนใบมีดเครื่อง Peeling เนื่องจากมีรอยร้าว 1 จุด,Work Area,Production Machine,Inspection,ENG,"",4
Finished,12 hr 47 min,ENWA-240009,Producton Low Risk,MNT-00004086,1900224,WRKO-00004901,แจ้งซ่อมประตูห้อง Preparation Room3 ลูกกลิ้งประตูไม่ตรงล็อค,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,81 hr 36 min,ENWA-240009,Producton Low Risk,MNT-00004089,1900224,WRKO-00004904,แจ้งซ่อมเครื่อง drive ตัวแกนหมุนไม่หมุน,Work Area,Production Machine,Inspection,ENG,"",4
Finished,326 hr 5 min,ENWA-240009,Producton Low Risk,MNT-00004093,1900175,WRKO-00004908,แจ้งซ่อมหม้อ Bratt. Pan2 กับ Bratt. Pan4 วาล์วเปิดปิดสตรีมรั,Work Area,Production Machine,Inspection,ENG,"",4
Finished,53 hr 33 min,ENWA-240009,Producton Low Risk,MNT-00004095,1900257,WRKO-00004910,ตะกร้อชำรุด,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,40 hr 30 min,ENWA-240009,Producton Low Risk,MNT-00004096,1900068,WRKO-00004911,ตะกร้อชำรุด,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,40 hr 27 min,ENWA-240009,Producton Low Risk,MNT-00004097,1900068,WRKO-00004912,ตะกร้อชำรุด,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,73 hr 27 min,ENWA-240009,Producton Low Risk,MNT-00004100,1900257,WRKO-00004915,ตะกร้อชำรุด,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,73 hr 38 min,ENWA-240009,Producton Low Risk,MNT-00004112,1900175,WRKO-00004938,แก้ไขน้ำรั่วจากเพดานห้องพะโล้ /Low Risk,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,81 hr 37 min,ENWA-240009,Producton Low Risk,MNT-00004113,1900175,WRKO-00004939,แก้ไขประตูห้อง Preparation Room 3 ลูกกลิ้งประตูตกล็อค,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,114 hr 19 min,ENWA-240009,Producton Low Risk,MNT-00004115,1900175,WRKO-00004941,แก้ไขม่านขาดทางเข้า Low Risk,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,81 hr 44 min,ENWA-240009,Producton Low Risk,MNT-00004117,1900175,WRKO-00004943,แก้ไขมือจับประตูห้องล้างดิบ หลุด,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,882 hr 37 min,ENWA-240009,Producton Low Risk,MNT-00004118,1900175,WRKO-00004944,แก้ไขผนังเป็นสนิมห้องล้าง ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
