Timestamp,PT102ROWaterSupply_Pres(bar)
07-Feb-26 7:00:00 AM ICT,5.3
07-Feb-26 7:30:00 AM ICT,6.5
07-Feb-26 8:00:00 AM ICT,6.3
07-Feb-26 8:30:00 AM ICT,6.4
07-Feb-26 9:00:00 AM ICT,6.5
07-Feb-26 9:30:00 AM ICT,6.5
07-Feb-26 10:00:00 AM ICT,6.5
07-Feb-26 10:30:00 AM ICT,6.5
07-Feb-26 11:00:00 AM ICT,6.5
07-Feb-26 11:30:00 AM ICT,6.5
07-Feb-26 12:00:00 PM ICT,6.5
07-Feb-26 12:30:00 PM ICT,6.5
07-Feb-26 1:00:00 PM ICT,6.5
07-Feb-26 1:30:00 PM ICT,6.5
07-Feb-26 2:00:00 PM ICT,6.5
07-Feb-26 2:30:00 PM ICT,6.5
07-Feb-26 3:00:00 PM ICT,6.5
07-Feb-26 3:30:00 PM ICT,6.5
07-Feb-26 4:00:00 PM ICT,6.5
07-Feb-26 4:30:00 PM ICT,6.5
07-Feb-26 5:00:00 PM ICT,6.5
07-Feb-26 5:30:00 PM ICT,6.5
07-Feb-26 6:00:00 PM ICT,6.5
07-Feb-26 6:30:00 PM ICT,6.5
07-Feb-26 7:00:00 PM ICT,6.5
07-Feb-26 7:30:00 PM ICT,6.5
07-Feb-26 8:00:00 PM ICT,6.5
07-Feb-26 8:30:00 PM ICT,6.5
07-Feb-26 9:00:00 PM ICT,6.5
07-Feb-26 9:30:00 PM ICT,6.0
07-Feb-26 10:00:00 PM ICT,3.7
07-Feb-26 10:30:00 PM ICT,3.9
07-Feb-26 11:00:00 PM ICT,3.2
07-Feb-26 11:30:00 PM ICT,2.1
08-Feb-26 12:00:00 AM ICT,1.5
08-Feb-26 12:30:00 AM ICT,6.4
08-Feb-26 1:00:00 AM ICT,6.5
08-Feb-26 1:30:00 AM ICT,5.1
08-Feb-26 2:00:00 AM ICT,3.7
08-Feb-26 2:30:00 AM ICT,2.3
08-Feb-26 3:00:00 AM ICT,6.6
08-Feb-26 3:30:00 AM ICT,6.7
08-Feb-26 4:00:00 AM ICT,4.6
08-Feb-26 4:30:00 AM ICT,5.1
08-Feb-26 5:00:00 AM ICT,6.8
08-Feb-26 5:30:00 AM ICT,6.4
08-Feb-26 6:00:00 AM ICT,4.7
08-Feb-26 6:30:00 AM ICT,5.1
08-Feb-26 7:00:00 AM ICT,3.7
08-Feb-26 7:30:00 AM ICT,3.5
08-Feb-26 8:00:00 AM ICT,3.6
08-Feb-26 8:30:00 AM ICT,3.7
08-Feb-26 9:00:00 AM ICT,6.5
08-Feb-26 9:30:00 AM ICT,6.5
08-Feb-26 10:00:00 AM ICT,6.5
08-Feb-26 10:30:00 AM ICT,6.5
08-Feb-26 11:00:00 AM ICT,6.5
08-Feb-26 11:30:00 AM ICT,6.5
08-Feb-26 12:00:00 PM ICT,6.5
08-Feb-26 12:30:00 PM ICT,6.5
08-Feb-26 1:00:00 PM ICT,6.5
08-Feb-26 1:30:00 PM ICT,6.5
08-Feb-26 2:00:00 PM ICT,6.5
08-Feb-26 2:30:00 PM ICT,6.5
08-Feb-26 3:00:00 PM ICT,6.5
08-Feb-26 3:30:00 PM ICT,6.5
08-Feb-26 4:00:00 PM ICT,6.5
08-Feb-26 4:30:00 PM ICT,6.5
08-Feb-26 5:00:00 PM ICT,6.5
08-Feb-26 5:30:00 PM ICT,6.5
08-Feb-26 6:00:00 PM ICT,6.5
08-Feb-26 6:30:00 PM ICT,6.5
08-Feb-26 7:00:00 PM ICT,6.5
08-Feb-26 7:30:00 PM ICT,6.5
08-Feb-26 8:00:00 PM ICT,6.5
08-Feb-26 8:30:00 PM ICT,6.5
08-Feb-26 9:00:00 PM ICT,6.5
08-Feb-26 9:30:00 PM ICT,6.5
08-Feb-26 10:00:00 PM ICT,6.5
08-Feb-26 10:30:00 PM ICT,6.5
08-Feb-26 11:00:00 PM ICT,6.5
08-Feb-26 11:30:00 PM ICT,6.5
09-Feb-26 12:00:00 AM ICT,6.5
09-Feb-26 12:30:00 AM ICT,6.5
09-Feb-26 1:00:00 AM ICT,6.5
09-Feb-26 1:30:00 AM ICT,6.5
09-Feb-26 2:00:00 AM ICT,6.5
09-Feb-26 2:30:00 AM ICT,6.5
09-Feb-26 3:00:00 AM ICT,6.5
09-Feb-26 3:30:00 AM ICT,6.5
09-Feb-26 4:00:00 AM ICT,6.5
09-Feb-26 4:30:00 AM ICT,6.5
09-Feb-26 5:00:00 AM ICT,6.5
09-Feb-26 5:30:00 AM ICT,6.5
09-Feb-26 6:00:00 AM ICT,6.5
09-Feb-26 6:30:00 AM ICT,6.5
09-Feb-26 7:00:00 AM ICT,6.5
09-Feb-26 7:30:00 AM ICT,6.5
09-Feb-26 8:00:00 AM ICT,6.5
09-Feb-26 8:30:00 AM ICT,6.5
09-Feb-26 9:00:00 AM ICT,6.5
09-Feb-26 9:30:00 AM ICT,6.5
09-Feb-26 10:00:00 AM ICT,6.5
09-Feb-26 10:30:00 AM ICT,6.5
09-Feb-26 11:00:00 AM ICT,6.5
09-Feb-26 11:30:00 AM ICT,6.5
09-Feb-26 12:00:00 PM ICT,6.5
09-Feb-26 12:30:00 PM ICT,6.5
09-Feb-26 1:00:00 PM ICT,6.5
09-Feb-26 1:30:00 PM ICT,6.5
09-Feb-26 2:00:00 PM ICT,6.5
09-Feb-26 2:30:00 PM ICT,6.5
09-Feb-26 3:00:00 PM ICT,6.5
09-Feb-26 3:30:00 PM ICT,6.5
09-Feb-26 4:00:00 PM ICT,6.5
09-Feb-26 4:30:00 PM ICT,6.5
09-Feb-26 5:00:00 PM ICT,6.5
09-Feb-26 5:30:00 PM ICT,6.5
09-Feb-26 6:00:00 PM ICT,6.5
09-Feb-26 6:30:00 PM ICT,6.5
09-Feb-26 7:00:00 PM ICT,6.5
09-Feb-26 7:30:00 PM ICT,6.5
09-Feb-26 8:00:00 PM ICT,6.5
09-Feb-26 8:30:00 PM ICT,6.5
09-Feb-26 9:00:00 PM ICT,6.5
09-Feb-26 9:30:00 PM ICT,6.5
09-Feb-26 10:00:00 PM ICT,6.5
09-Feb-26 10:30:00 PM ICT,6.5
09-Feb-26 11:00:00 PM ICT,6.5
09-Feb-26 11:30:00 PM ICT,6.5
10-Feb-26 12:00:00 AM ICT,6.5
10-Feb-26 12:30:00 AM ICT,6.5
10-Feb-26 1:00:00 AM ICT,6.5
10-Feb-26 1:30:00 AM ICT,6.5
10-Feb-26 2:00:00 AM ICT,6.5
10-Feb-26 2:30:00 AM ICT,6.5
10-Feb-26 3:00:00 AM ICT,6.5
10-Feb-26 3:30:00 AM ICT,6.5
10-Feb-26 4:00:00 AM ICT,6.5
10-Feb-26 4:30:00 AM ICT,6.5
10-Feb-26 5:00:00 AM ICT,6.5
10-Feb-26 5:30:00 AM ICT,6.5
10-Feb-26 6:00:00 AM ICT,6.5
10-Feb-26 6:30:00 AM ICT,6.5
10-Feb-26 7:00:00 AM ICT,6.5
10-Feb-26 7:30:00 AM ICT,6.5
10-Feb-26 8:00:00 AM ICT,6.5
10-Feb-26 8:30:00 AM ICT,6.5
10-Feb-26 9:00:00 AM ICT,6.5
10-Feb-26 9:30:00 AM ICT,6.5
10-Feb-26 10:00:00 AM ICT,6.5
10-Feb-26 10:30:00 AM ICT,6.5
10-Feb-26 11:00:00 AM ICT,6.5
10-Feb-26 11:30:00 AM ICT,6.5
10-Feb-26 12:00:00 PM ICT,6.5
10-Feb-26 12:30:00 PM ICT,6.5
10-Feb-26 1:00:00 PM ICT,6.5
10-Feb-26 1:30:00 PM ICT,6.5
10-Feb-26 2:00:00 PM ICT,6.5
10-Feb-26 2:30:00 PM ICT,6.5
10-Feb-26 3:00:00 PM ICT,6.5
10-Feb-26 3:30:00 PM ICT,6.5
10-Feb-26 4:00:00 PM ICT,6.5
10-Feb-26 4:30:00 PM ICT,6.5
10-Feb-26 5:00:00 PM ICT,6.0
10-Feb-26 5:30:00 PM ICT,6.5
10-Feb-26 6:00:00 PM ICT,6.5
10-Feb-26 6:30:00 PM ICT,6.5
10-Feb-26 7:00:00 PM ICT,6.5
10-Feb-26 7:30:00 PM ICT,6.5
10-Feb-26 8:00:00 PM ICT,6.5
10-Feb-26 8:30:00 PM ICT,6.5
10-Feb-26 9:00:00 PM ICT,6.5
10-Feb-26 9:30:00 PM ICT,6.5
10-Feb-26 10:00:00 PM ICT,6.5
10-Feb-26 10:30:00 PM ICT,6.5
10-Feb-26 11:00:00 PM ICT,6.5
10-Feb-26 11:30:00 PM ICT,6.5
11-Feb-26 12:00:00 AM ICT,6.5
11-Feb-26 12:30:00 AM ICT,6.5
11-Feb-26 1:00:00 AM ICT,6.5
11-Feb-26 1:30:00 AM ICT,6.5
11-Feb-26 2:00:00 AM ICT,6.5
11-Feb-26 2:30:00 AM ICT,6.5
11-Feb-26 3:00:00 AM ICT,6.5
11-Feb-26 3:30:00 AM ICT,6.5
11-Feb-26 4:00:00 AM ICT,6.5
11-Feb-26 4:30:00 AM ICT,6.5
11-Feb-26 5:00:00 AM ICT,6.5
11-Feb-26 5:30:00 AM ICT,6.5
11-Feb-26 6:00:00 AM ICT,6.5
11-Feb-26 6:30:00 AM ICT,6.5
11-Feb-26 7:00:00 AM ICT,6.5
11-Feb-26 7:30:00 AM ICT,6.5
11-Feb-26 8:00:00 AM ICT,6.5
11-Feb-26 8:30:00 AM ICT,6.5
11-Feb-26 9:00:00 AM ICT,6.5
11-Feb-26 9:30:00 AM ICT,6.5
11-Feb-26 10:00:00 AM ICT,6.5
11-Feb-26 10:30:00 AM ICT,6.5
11-Feb-26 11:00:00 AM ICT,6.5
11-Feb-26 11:30:00 AM ICT,6.5
11-Feb-26 12:00:00 PM ICT,6.5
11-Feb-26 12:30:00 PM ICT,6.5
11-Feb-26 1:00:00 PM ICT,6.5
11-Feb-26 1:30:00 PM ICT,6.5
11-Feb-26 2:00:00 PM ICT,6.5
11-Feb-26 2:30:00 PM ICT,6.5
11-Feb-26 3:00:00 PM ICT,6.5
11-Feb-26 3:30:00 PM ICT,6.5
11-Feb-26 4:00:00 PM ICT,6.5
11-Feb-26 4:30:00 PM ICT,6.5
11-Feb-26 5:00:00 PM ICT,6.5
11-Feb-26 5:30:00 PM ICT,6.5
11-Feb-26 6:00:00 PM ICT,6.5
11-Feb-26 6:30:00 PM ICT,6.5
11-Feb-26 7:00:00 PM ICT,6.5
11-Feb-26 7:30:00 PM ICT,6.5
11-Feb-26 8:00:00 PM ICT,6.5
11-Feb-26 8:30:00 PM ICT,6.5
11-Feb-26 9:00:00 PM ICT,6.5
11-Feb-26 9:30:00 PM ICT,6.5
11-Feb-26 10:00:00 PM ICT,6.5
11-Feb-26 10:30:00 PM ICT,6.5
