Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,Responsible,WorkerG,Priority,Month,Day,Month,Day
Finished,112 hr 59 min,ENWA-240008,Producton High Risk,MNT-00004536,1900175,WRKO-00005404,น๊อตยึดด้ามจับประตูทางไป air blast 1 ฝั่งสุกหลุด,Work Area,Tool and Equipment,Inspection,"",ENG,4,February,28,March,4
Finished,60 hr 25 min,ENWA-240008,Producton High Risk,MNT-00004205,1900175,WRKO-00005032,ทำฐานวางกิโลใหญ่ ฝั่งสุก,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,12,January,14
Finished,202 hr 42 min,ENWA-240010,Producton Medium Risk,MNT-00004236,1900175,WRKO-00005066,ทำแผ่นนสเเตนเลสปิดช่องล้อรถเข็นตะกร้า ไลน์มีเดียม,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,14,January,22
Finished,327 hr 39 min,ENWA-240008,Producton High Risk,MNT-00004207,1900175,WRKO-00005034,ทาสีทับรอยน้ำหมึกปากกาผนังในไลน์ assembly  ฝั่งสุก,Work Area,ฺBuilding,Inspection,"",ENG,4,January,12,January,25
Finished,189 hr 46 min,ENWA-240017,Canteen,MNT-00004420,1900254,WRKO-00005282,ท่อน้ำอ่างล้างชามตรงโรงอาหารล็อกกลางมีน้ำรั่ว,Work Area,ฺBuilding,Inspection,"",ENG,4,February,12,February,19
Finished,107 hr 28 min,ENWA-240008,Producton High Risk,MNT-00004269,1900175,WRKO-00005104,ท่อน้ำล่างอ่างมือ ในใลน์ฝั่งสุก มีน้ำรั่วจากเพดาน,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,17,January,21
Finished,,ENUT-240188,Condencer Unit No.29 (Air Blast Freezer2),MNT-00004304,1900231,WRKO-00005148,ท่อน้ำยาแอร์บลาส 2 มีรั่วซึม,Buiding1,Cooling machine,Inspection,"",ENG,1,January,23,January,21
Finished,104 hr 44 min,ENWA-240017,Canteen,MNT-00004339,1900254,WRKO-00005190,ท่อน้ำตรงอ่างล้างชามโรงอาหารมีน้ำหยด,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,31,February,4
Finished,7 hr 30 min,ENWA-240010,Producton Medium Risk,MNT-00004561,1900175,WRKO-00005437,ถอดชั้นวาง ห้องแต่งตัวชาย มีเดียม ไม่ได้ใช้งาน,Work Area,Tool and Equipment,Inspection,"",ENG,4,March,5,March,5
Finished,,ENUT-240010,Sand Filter Tank No.2,MNT-00004487,1900231,WRKO-00005353,ติตตั้งกรองน้ำ PP,Water1,Water system,Inspection,"",ENG,1,February,23,February,21
Finished,107 hr 18 min,ENWA-240002,Front Office,MNT-00004367,1900254,WRKO-00005225,ติดบอร์ดห้องผู้จัดการH.R,Work Area,ฺBuilding,Inspection,"",ENG,4,February,5,February,9
Finished,30 hr 39 min,ENWA-240009,Producton Low Risk,MNT-00004165,1900175,WRKO-00004984,ติดตั้งอุปกรณ์ห้องล้างเก่า ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,8,January,9
Finished,46 hr 6 min,ENWA-240009,Producton Low Risk,MNT-00004438,1900175,WRKO-00005299,ติดตั้งหลอดไฟห้องล้าง หลอดไฟล่วง ฝั่งดิบ,Work Area,Electrical system,Inspection,"",ENG,4,February,16,February,18
Finished,,ENPD-240032,X-Ray No.2,MNT-00004345,1900231,WRKO-00005198,ติดตั้งสายลมเข้าเครื่อง X-Ray,Production Plant1,Production Machine,Inspection,"",ENG,1,February,3,February,1
Finished,,ENWA-240009,Producton Low Risk,MNT-00004343,1900231,WRKO-00005193,ติดตั้งท่อน้ำเครื่องทำน้ำแข็ง,Work Area,Tool and Equipment,Inspection,"","",1,February,2,January,31
Finished,,ENWA-240017,Canteen,MNT-00004297,1900231,WRKO-00005138,ติดตั้งตู้น้ำดื่มโรงอาหาร,Work Area,Tool and Equipment,Inspection,"",ENG,1,January,22,January,21
Finished,9 hr 20 min,ENWA-240010,Producton Medium Risk,MNT-00004316,1900254,WRKO-00005168,ติดตั้งตู้กินน้ำทีมีเดียม,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,27,January,27
Finished,2 hr 36 min,ENWA-240010,Producton Medium Risk,MNT-00004090,1900231,WRKO-00004905,ติดตั้งจุดกรองน้ำ Medium Risk,Work Area,ฺBuilding,Inspection,"",ENG,1,January,2,January,2
Finished,247 hr 4 min,ENWA-240004,Store Office,MNT-00004404,1900254,WRKO-00005267,ติดก๊อกน้ำเพิ่มตรงบริเวณห้องเก็บสารเคมีสโตร์,Work Area,Tool and Equipment,Inspection,"",ENG,4,February,10,February,20
Finished,174 hr 43 min,ENWA-240010,Producton Medium Risk,MNT-00004235,1900175,WRKO-00005065,ตัดล้อรถเข็นตะกร้าเพื่อทำฐานวางเครื่องชั่งไลน์มีเดียมตัวที่2,Work Area,Tool and Equipment,Inspection,"",ENG,1,January,14,January,21
Finished,176 hr 47 min,ENWA-240010,Producton Medium Risk,MNT-00004234,1900175,WRKO-00005064,ตัดล้อรถเข็นตะกร้าเพื่อทำฐานวางเครื่องชั่งไลน์มีเดียมตัวที่1,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,14,January,21
Finished,8 hr 45 min,ENWA-240009,Producton Low Risk,MNT-00004557,1900175,WRKO-00005433,ตั้งน้ำหนักเครื่องหยอดไข่ ฝั่งดิบ,Work Area,Production Machine,Inspection,"",ENG,4,March,5,March,5
Finished,53 hr 33 min,ENWA-240009,Producton Low Risk,MNT-00004095,1900257,WRKO-00004910,ตะกร้อชำรุด,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,3,January,5
Finished,40 hr 30 min,ENWA-240009,Producton Low Risk,MNT-00004096,1900068,WRKO-00004911,ตะกร้อชำรุด,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,3,January,4
Finished,40 hr 27 min,ENWA-240009,Producton Low Risk,MNT-00004097,1900068,WRKO-00004912,ตะกร้อชำรุด,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,3,January,4
Finished,73 hr 27 min,ENWA-240009,Producton Low Risk,MNT-00004100,1900257,WRKO-00004915,ตะกร้อชำรุด,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,3,January,6
Finished,,ENWA-240005,Engineering Office,MNT-00004430,1900231,WRKO-00005293,"ต่อสายยาง,ก๊อกน้ำล้าง condenser",Work Area,Tool and Equipment,Inspection,"",ENG,1,February,14,February,13
Finished,7 hr 46 min,ENPD-240045,Meatball making No.1,MNT-00004453,1900175,WRKO-00005314,ต่อสายไฟเครื่องทำมีทบอล,Production Plant1,Production Machine,Inspection,"",ENG,4,February,17,February,17
Finished,113 hr 18 min,ENWA-240009,Producton Low Risk,MNT-00004378,1900175,WRKO-00005235,ต่อสามทางใส่ก็อกน้ำเพิ่มให้อีก1จุด หม้อราวแบทแพน ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,February,6,February,10
