Timestamp,FIT-103-ROWaterSupply_Total(m³)
23-Jan-26 3:00:00 AM ICT,357.0
23-Jan-26 4:00:00 AM ICT,357.0
23-Jan-26 5:00:00 AM ICT,357.0
23-Jan-26 6:00:00 AM ICT,357.0
23-Jan-26 7:00:00 AM ICT,358.0
23-Jan-26 8:00:00 AM ICT,360.0
23-Jan-26 9:00:00 AM ICT,361.0
23-Jan-26 10:00:00 AM ICT,362.0
23-Jan-26 11:00:00 AM ICT,363.8
23-Jan-26 12:00:00 PM ICT,364.8
23-Jan-26 1:00:00 PM ICT,365.0
23-Jan-26 2:00:00 PM ICT,365.0
23-Jan-26 3:00:00 PM ICT,365.8
23-Jan-26 4:00:00 PM ICT,366.3
23-Jan-26 5:00:00 PM ICT,367.0
23-Jan-26 6:00:00 PM ICT,367.0
23-Jan-26 7:00:00 PM ICT,367.0
23-Jan-26 8:00:00 PM ICT,367.0
23-Jan-26 9:00:00 PM ICT,367.0
23-Jan-26 10:00:00 PM ICT,367.0
23-Jan-26 11:00:00 PM ICT,367.0
24-Jan-26 12:00:00 AM ICT,367.0
24-Jan-26 1:00:00 AM ICT,367.0
24-Jan-26 2:00:00 AM ICT,367.0
24-Jan-26 3:00:00 AM ICT,367.0
24-Jan-26 4:00:00 AM ICT,367.0
24-Jan-26 5:00:00 AM ICT,367.0
24-Jan-26 6:00:00 AM ICT,367.0
24-Jan-26 7:00:00 AM ICT,367.0
24-Jan-26 8:00:00 AM ICT,367.0
24-Jan-26 9:00:00 AM ICT,367.0
24-Jan-26 10:00:00 AM ICT,367.0
24-Jan-26 11:00:00 AM ICT,367.0
24-Jan-26 12:00:00 PM ICT,367.0
24-Jan-26 1:00:00 PM ICT,367.0
24-Jan-26 2:00:00 PM ICT,367.0
24-Jan-26 3:00:00 PM ICT,367.0
24-Jan-26 4:00:00 PM ICT,367.0
24-Jan-26 5:00:00 PM ICT,367.0
24-Jan-26 6:00:00 PM ICT,367.0
24-Jan-26 7:00:00 PM ICT,367.0
24-Jan-26 8:00:00 PM ICT,367.0
24-Jan-26 9:00:00 PM ICT,367.0
24-Jan-26 10:00:00 PM ICT,367.0
24-Jan-26 11:00:00 PM ICT,367.0
25-Jan-26 12:00:00 AM ICT,367.0
25-Jan-26 1:00:00 AM ICT,367.0
25-Jan-26 2:00:00 AM ICT,367.0
25-Jan-26 3:00:00 AM ICT,367.0
25-Jan-26 4:00:00 AM ICT,367.0
25-Jan-26 5:00:00 AM ICT,367.0
25-Jan-26 6:00:00 AM ICT,367.0
25-Jan-26 7:00:00 AM ICT,367.0
25-Jan-26 8:00:00 AM ICT,367.0
25-Jan-26 10:00:00 AM ICT,367.0
25-Jan-26 11:00:00 AM ICT,367.0
25-Jan-26 12:00:00 PM ICT,367.0
25-Jan-26 1:00:00 PM ICT,367.0
25-Jan-26 2:00:00 PM ICT,367.0
25-Jan-26 3:00:00 PM ICT,367.0
25-Jan-26 4:00:00 PM ICT,367.0
25-Jan-26 5:00:00 PM ICT,367.0
25-Jan-26 6:00:00 PM ICT,367.0
