,INFEED CONVEYER,,,,,,,,,,,,,,OUTFEED CONVEYER,,,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,Belt Speed (Hz),,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,FREEZER CAPACITY,M04A,M04B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,
1:33:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:34:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:35:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:36:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:37:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:38:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:39:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:40:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:41:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:42:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:43:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:44:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:45:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:46:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:47:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:48:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:49:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:50:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:51:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:52:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:53:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:54:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:55:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:56:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:57:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:58:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:59:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:00:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:01:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
