Timestamp,FIT104SoftWaterSupplyNo2_Flow(m³/hr)
12-Feb-26 10:00:00 PM ICT,1.3
12-Feb-26 10:30:00 PM ICT,0.0
12-Feb-26 11:00:00 PM ICT,0.0
12-Feb-26 11:30:00 PM ICT,0.0
13-Feb-26 12:00:00 AM ICT,0.0
13-Feb-26 12:30:00 AM ICT,0.0
13-Feb-26 1:00:00 AM ICT,0.0
13-Feb-26 1:30:00 AM ICT,0.0
13-Feb-26 2:00:00 AM ICT,0.0
13-Feb-26 2:30:00 AM ICT,0.0
13-Feb-26 3:00:00 AM ICT,0.0
13-Feb-26 3:30:00 AM ICT,0.0
13-Feb-26 4:00:00 AM ICT,0.0
13-Feb-26 4:30:00 AM ICT,0.0
13-Feb-26 5:00:00 AM ICT,0.0
13-Feb-26 5:30:00 AM ICT,0.0
13-Feb-26 6:00:00 AM ICT,0.0
13-Feb-26 6:30:00 AM ICT,0.0
13-Feb-26 7:00:00 AM ICT,0.0
13-Feb-26 7:30:00 AM ICT,0.4
13-Feb-26 8:00:00 AM ICT,0.7
13-Feb-26 8:30:00 AM ICT,0.5
13-Feb-26 9:00:00 AM ICT,4.2
13-Feb-26 9:30:00 AM ICT,1.1
13-Feb-26 10:00:00 AM ICT,1.1
13-Feb-26 10:30:00 AM ICT,0.6
13-Feb-26 11:00:00 AM ICT,1.9
13-Feb-26 11:30:00 AM ICT,0.7
13-Feb-26 12:00:00 PM ICT,0.4
13-Feb-26 12:30:00 PM ICT,5.9
13-Feb-26 1:00:00 PM ICT,8.6
13-Feb-26 1:30:00 PM ICT,0.5
13-Feb-26 2:00:00 PM ICT,10.2
13-Feb-26 2:30:00 PM ICT,2.1
13-Feb-26 3:00:00 PM ICT,0.7
13-Feb-26 3:30:00 PM ICT,6.4
13-Feb-26 4:00:00 PM ICT,8.1
13-Feb-26 4:30:00 PM ICT,7.0
13-Feb-26 5:00:00 PM ICT,4.4
13-Feb-26 5:30:00 PM ICT,15.5
13-Feb-26 6:00:00 PM ICT,2.2
13-Feb-26 6:30:00 PM ICT,2.4
13-Feb-26 7:00:00 PM ICT,3.4
13-Feb-26 7:30:00 PM ICT,0.0
13-Feb-26 8:00:00 PM ICT,0.0
13-Feb-26 8:30:00 PM ICT,0.0
13-Feb-26 9:00:00 PM ICT,0.0
13-Feb-26 9:30:00 PM ICT,0.0
13-Feb-26 10:00:00 PM ICT,0.0
13-Feb-26 10:30:00 PM ICT,0.0
13-Feb-26 11:00:00 PM ICT,0.5
13-Feb-26 11:30:00 PM ICT,0.0
14-Feb-26 12:00:00 AM ICT,0.0
14-Feb-26 12:30:00 AM ICT,0.0
14-Feb-26 1:00:00 AM ICT,0.0
14-Feb-26 1:30:00 AM ICT,2.9
14-Feb-26 2:00:00 AM ICT,0.0
14-Feb-26 2:30:00 AM ICT,0.0
14-Feb-26 3:00:00 AM ICT,0.0
14-Feb-26 3:30:00 AM ICT,0.0
14-Feb-26 4:00:00 AM ICT,0.0
14-Feb-26 4:30:00 AM ICT,0.0
14-Feb-26 5:00:00 AM ICT,0.0
14-Feb-26 5:30:00 AM ICT,0.0
14-Feb-26 6:00:00 AM ICT,0.0
14-Feb-26 6:30:00 AM ICT,0.0
14-Feb-26 7:00:00 AM ICT,0.0
14-Feb-26 7:30:00 AM ICT,0.1
14-Feb-26 8:00:00 AM ICT,0.8
