Timestamp,RES102ROWaterSupply_ResCl2(mg)
06-Feb-26 12:30:00 AM ICT,0.3
06-Feb-26 1:00:00 AM ICT,0.3
06-Feb-26 1:30:00 AM ICT,0.3
06-Feb-26 2:00:00 AM ICT,0.3
06-Feb-26 2:30:00 AM ICT,0.3
06-Feb-26 3:00:00 AM ICT,0.3
06-Feb-26 3:30:00 AM ICT,0.3
06-Feb-26 4:00:00 AM ICT,0.3
06-Feb-26 4:30:00 AM ICT,0.3
06-Feb-26 5:00:00 AM ICT,0.2
06-Feb-26 5:30:00 AM ICT,1.1
06-Feb-26 6:00:00 AM ICT,0.9
06-Feb-26 6:30:00 AM ICT,0.6
06-Feb-26 7:00:00 AM ICT,4.6
06-Feb-26 7:30:00 AM ICT,3.1
06-Feb-26 8:00:00 AM ICT,2.8
06-Feb-26 8:30:00 AM ICT,2.2
06-Feb-26 9:00:00 AM ICT,1.8
06-Feb-26 9:30:00 AM ICT,1.0
06-Feb-26 10:00:00 AM ICT,0.6
06-Feb-26 10:30:00 AM ICT,0.7
06-Feb-26 11:00:00 AM ICT,0.7
06-Feb-26 11:30:00 AM ICT,0.6
06-Feb-26 12:00:00 PM ICT,1.1
06-Feb-26 12:30:00 PM ICT,0.6
06-Feb-26 1:00:00 PM ICT,0.7
06-Feb-26 1:30:00 PM ICT,0.5
06-Feb-26 2:00:00 PM ICT,0.4
06-Feb-26 2:30:00 PM ICT,0.4
06-Feb-26 3:00:00 PM ICT,0.4
06-Feb-26 3:30:00 PM ICT,0.4
06-Feb-26 4:00:00 PM ICT,0.4
06-Feb-26 4:30:00 PM ICT,0.4
06-Feb-26 5:00:00 PM ICT,0.3
06-Feb-26 5:30:00 PM ICT,0.3
06-Feb-26 6:00:00 PM ICT,0.3
06-Feb-26 6:30:00 PM ICT,0.3
06-Feb-26 7:00:00 PM ICT,0.3
06-Feb-26 7:30:00 PM ICT,0.3
06-Feb-26 8:00:00 PM ICT,0.3
06-Feb-26 8:30:00 PM ICT,0.3
06-Feb-26 9:00:00 PM ICT,0.3
06-Feb-26 9:30:00 PM ICT,3.0
06-Feb-26 10:00:00 PM ICT,3.7
06-Feb-26 10:30:00 PM ICT,2.8
06-Feb-26 11:00:00 PM ICT,1.9
06-Feb-26 11:30:00 PM ICT,1.8
07-Feb-26 12:00:00 AM ICT,1.2
07-Feb-26 12:30:00 AM ICT,1.2
07-Feb-26 1:00:00 AM ICT,1.1
07-Feb-26 1:30:00 AM ICT,1.0
07-Feb-26 2:00:00 AM ICT,0.8
07-Feb-26 2:30:00 AM ICT,0.7
07-Feb-26 3:00:00 AM ICT,0.8
07-Feb-26 3:30:00 AM ICT,0.7
07-Feb-26 4:00:00 AM ICT,0.7
07-Feb-26 4:30:00 AM ICT,0.5
07-Feb-26 5:00:00 AM ICT,0.6
07-Feb-26 5:30:00 AM ICT,0.6
07-Feb-26 6:00:00 AM ICT,0.5
07-Feb-26 6:30:00 AM ICT,0.7
07-Feb-26 7:00:00 AM ICT,0.6
07-Feb-26 7:30:00 AM ICT,0.5
07-Feb-26 8:00:00 AM ICT,0.5
07-Feb-26 8:30:00 AM ICT,0.5
07-Feb-26 9:00:00 AM ICT,0.8
07-Feb-26 9:30:00 AM ICT,0.8
07-Feb-26 10:00:00 AM ICT,0.8
07-Feb-26 10:30:00 AM ICT,0.8
07-Feb-26 11:00:00 AM ICT,0.8
07-Feb-26 11:30:00 AM ICT,0.7
07-Feb-26 12:00:00 PM ICT,0.7
07-Feb-26 12:30:00 PM ICT,0.7
07-Feb-26 1:00:00 PM ICT,0.7
07-Feb-26 1:30:00 PM ICT,0.7
07-Feb-26 2:00:00 PM ICT,0.7
07-Feb-26 2:30:00 PM ICT,0.7
07-Feb-26 3:00:00 PM ICT,0.7
07-Feb-26 3:30:00 PM ICT,0.7
07-Feb-26 4:00:00 PM ICT,0.7
07-Feb-26 4:30:00 PM ICT,0.7
07-Feb-26 5:00:00 PM ICT,0.7
07-Feb-26 5:30:00 PM ICT,0.7
07-Feb-26 6:00:00 PM ICT,0.7
07-Feb-26 6:30:00 PM ICT,0.7
07-Feb-26 7:00:00 PM ICT,0.7
07-Feb-26 7:30:00 PM ICT,0.7
07-Feb-26 8:00:00 PM ICT,0.7
07-Feb-26 8:30:00 PM ICT,0.7
07-Feb-26 9:00:00 PM ICT,0.7
07-Feb-26 9:30:00 PM ICT,0.7
07-Feb-26 10:00:00 PM ICT,0.7
07-Feb-26 10:30:00 PM ICT,0.7
07-Feb-26 11:00:00 PM ICT,0.7
07-Feb-26 11:30:00 PM ICT,0.8
08-Feb-26 12:00:00 AM ICT,0.7
08-Feb-26 12:30:00 AM ICT,0.7
08-Feb-26 1:00:00 AM ICT,0.7
08-Feb-26 1:30:00 AM ICT,0.7
08-Feb-26 2:00:00 AM ICT,0.7
08-Feb-26 2:30:00 AM ICT,0.7
08-Feb-26 3:00:00 AM ICT,0.8
08-Feb-26 3:30:00 AM ICT,0.7
08-Feb-26 4:00:00 AM ICT,0.7
08-Feb-26 4:30:00 AM ICT,0.7
08-Feb-26 5:00:00 AM ICT,0.7
08-Feb-26 5:30:00 AM ICT,0.7
08-Feb-26 6:00:00 AM ICT,0.7
08-Feb-26 6:30:00 AM ICT,0.7
08-Feb-26 7:00:00 AM ICT,0.7
08-Feb-26 7:30:00 AM ICT,0.7
08-Feb-26 8:00:00 AM ICT,0.7
08-Feb-26 8:30:00 AM ICT,0.6
08-Feb-26 9:00:00 AM ICT,0.5
08-Feb-26 9:30:00 AM ICT,0.5
08-Feb-26 10:00:00 AM ICT,0.4
08-Feb-26 10:30:00 AM ICT,0.3
08-Feb-26 11:00:00 AM ICT,0.3
08-Feb-26 11:30:00 AM ICT,0.3
08-Feb-26 12:00:00 PM ICT,0.3
08-Feb-26 12:30:00 PM ICT,0.3
08-Feb-26 1:00:00 PM ICT,0.3
08-Feb-26 1:30:00 PM ICT,0.3
08-Feb-26 2:00:00 PM ICT,0.3
08-Feb-26 2:30:00 PM ICT,0.3
08-Feb-26 3:00:00 PM ICT,0.3
08-Feb-26 3:30:00 PM ICT,0.3
08-Feb-26 4:00:00 PM ICT,0.3
08-Feb-26 4:30:00 PM ICT,0.3
08-Feb-26 5:00:00 PM ICT,0.2
08-Feb-26 5:30:00 PM ICT,0.2
08-Feb-26 6:00:00 PM ICT,0.2
08-Feb-26 6:30:00 PM ICT,0.2
08-Feb-26 7:00:00 PM ICT,0.2
08-Feb-26 7:30:00 PM ICT,0.2
08-Feb-26 8:00:00 PM ICT,0.2
08-Feb-26 8:30:00 PM ICT,0.2
08-Feb-26 9:00:00 PM ICT,0.2
08-Feb-26 9:30:00 PM ICT,0.2
08-Feb-26 10:00:00 PM ICT,0.2
08-Feb-26 10:30:00 PM ICT,0.2
08-Feb-26 11:00:00 PM ICT,0.2
08-Feb-26 11:30:00 PM ICT,0.2
09-Feb-26 12:00:00 AM ICT,0.2
09-Feb-26 12:30:00 AM ICT,0.2
09-Feb-26 1:00:00 AM ICT,0.2
09-Feb-26 1:30:00 AM ICT,0.2
09-Feb-26 2:00:00 AM ICT,0.2
09-Feb-26 2:30:00 AM ICT,0.1
09-Feb-26 3:00:00 AM ICT,0.1
09-Feb-26 3:30:00 AM ICT,0.1
09-Feb-26 4:00:00 AM ICT,0.1
09-Feb-26 4:30:00 AM ICT,0.1
09-Feb-26 5:00:00 AM ICT,0.1
