TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,,,,,,,,,,,,,,,,
15:00:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:01:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:02:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:03:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:04:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:05:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:06:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:07:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:08:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:09:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:10:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:11:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:12:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:13:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:14:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:15:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:16:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:17:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:18:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:19:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:20:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:21:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:22:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:23:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:24:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:25:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:26:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:27:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:28:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:29:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:30:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:31:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:32:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:33:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:34:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:35:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:36:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:37:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:38:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:39:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:40:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:41:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:42:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:43:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:44:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:45:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:46:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:47:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
15:48:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
